"Year","kms Driven","Fuel Type","Suspension","Price","Car Model"
"2015","73948 kms "," Petrol "," Manual"," 5.15 Lakh","Honda City i VTEC SV"
"2012","80618 kms "," Petrol "," Manual"," 2.85 Lakh","Honda Brio S MT"
"2010","85284 kms "," Petrol "," Manual"," 3.25 Lakh","Honda City V MT"
"2018","29000 kms "," Petrol "," Automatic"," 6.95 Lakh","Honda Jazz 1.2 V AT i VTE"
"2017","38000 kms "," Petrol "," Manual"," 7.01 Lakh","Honda BR-V i-VTEC V MT"
"2017","41000 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda City i-VTEC CVT VX"
"2014","44688 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Amaze S i-Vtech"
"2014","29000 kms "," Petrol "," Manual"," 4.25 Lakh","Honda Amaze SX i-VTEC"
"2017","51000 kms "," Petrol "," Automatic"," 8.99 Lakh","Honda City i-VTEC CVT ZX"
"2016","61248 kms "," Petrol "," Manual"," 3.75 Lakh","Honda Amaze SX i-VTEC"
"2017","63000 kms "," Petrol "," Automatic"," 8.65 Lakh","Honda City i-VTEC CVT VX"
"2014","56000 kms "," Petrol "," Manual"," 5.15 Lakh","Honda City i VTEC V"
"2017","54184 kms "," Petrol "," Manual"," 6 Lakh","Honda City i-VTEC V"
"2015","26000 kms "," Petrol "," Automatic"," 4.95 Lakh","Honda Amaze VX AT i-Vtech"
"2019","11000 kms "," Petrol "," Automatic"," 7.45 Lakh","Honda Amaze S CVT Petrol "
"2017","36000 kms "," Petrol "," Manual"," 7.45 Lakh","Honda Jazz 1.2 SV i VTEC"
"2012","36000 kms "," Petrol "," Automatic"," 4.75 Lakh","Honda City V AT"
"2017","39000 kms "," Petrol "," Manual"," 7.25 Lakh","Honda City i VTEC VX"
"2016","41000 kms "," Petrol "," Manual"," 6.25 Lakh","Honda City i VTEC SV"
"2016","37000 kms "," Petrol "," Automatic"," 7.95 Lakh","Honda City i VTEC CVT VX"
"2017","17000 kms "," Petrol "," Manual"," 6.45 Lakh","Honda WR-V i-VTEC S"
"2015","59000 kms "," Petrol "," Manual"," 6.85 Lakh","Honda City V MT"
"2011","53418 kms "," Petrol "," Manual"," 3.12 Lakh","Honda City 1.5 V MT"
"2012","8000 kms "," Petrol "," Manual"," 2.85 Lakh","Honda Brio S MT"
"2014","110697 kms "," Diesel "," Manual"," 4.04 Lakh","Honda City i DTEC SV"
"2013","26000 kms "," Petrol "," Automatic"," 4.50 Lakh","Honda Amaze VX AT i-Vtech"
"2019","54000 kms "," Diesel "," Manual"," 9.90 Lakh","Honda City i-DTEC VX"
"2012","48000 kms "," Petrol "," Manual"," 2.75 Lakh","Honda Brio S MT"
"2008","131990 kms "," Petrol "," Manual"," 1.51 Lakh","Honda City 1.5 S MT"
"2015","52932 kms "," Petrol "," Manual"," 5.65 Lakh","Honda City i VTEC SV"
"2014","71481 kms "," Diesel "," Manual"," 2.75 Lakh","Honda Amaze S i-Dtech"
"2015","110586 kms "," Diesel "," Manual"," 5.40 Lakh","Honda City i DTEC SV"
"2010","61000 kms "," Petrol "," Automatic"," 3.11 Lakh","Honda Civic 1.8 V AT"
"2021","22111 kms "," Petrol "," Manual"," 9 Lakh","Honda City SV MT"
"2014","25900 kms "," Petrol "," Manual"," 4.21 Lakh","Honda Amaze VX i-Vtech"
"2013","72071 kms "," Diesel "," Manual"," 4.50 Lakh","Honda Amaze S i-Dtech"
"2014","87401 kms "," Petrol "," Manual"," 3.10 Lakh","Honda Amaze S i-Vtech"
"2012","62000 kms "," Petrol "," Manual"," 3.50 Lakh","Honda City S"
"2014","141088 kms "," Diesel "," Manual"," 4 Lakh","Honda Amaze S i-Dtech"
"2011","52500 kms "," Petrol "," Manual"," 4.09 Lakh","Honda City 1.5 S MT"
"2022","10885 kms "," Petrol "," Automatic"," 9.56 Lakh","Honda Amaze VX CVT"
"2018","80286 kms "," Diesel "," Manual"," 6.70 Lakh","Honda WR-V i-DTEC VX"
"2014","55688 kms "," Petrol "," Manual"," 3.80 Lakh","Honda Amaze E i-Vtech"
"2014","20663 kms "," Petrol "," Manual"," 4.25 Lakh","Honda Amaze S i-Vtech"
"2017","29401 kms "," Petrol "," Manual"," 7.15 Lakh","Honda BR-V i-VTEC S MT"
"2020","18731 kms "," Petrol "," Automatic"," 7.90 Lakh","Honda Amaze VX CVT Petrol"
"2018","67181 kms "," Petrol "," Automatic"," 8.25 Lakh","Honda City i-VTEC CVT V"
"2009","78766 kms "," Petrol "," Automatic"," 2.70 Lakh","Honda City 1.5 S AT"
"2010","70000 kms "," Petrol "," Manual"," 2.75 Lakh","Honda City 1.5 E MT"
"2017","70000 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City i VTEC V"
"2020","30000 kms "," Petrol "," Automatic"," 11.50 Lakh","Honda City i-VTEC CVT VX"
"2017","28000 kms "," Petrol "," Manual"," 8 Lakh","Honda City i VTEC V"
"2008","131474 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City GXi"
"2014","149237 kms "," Diesel "," Manual"," 3 Lakh","Honda City i DTEC SV"
"2009","108406 kms "," Petrol "," Manual"," 1.80 Lakh","Honda City 1.5 S MT"
"2013","74424 kms "," Petrol "," Manual"," 2.30 Lakh","Honda Brio S MT"
"2018","64812 kms "," Diesel "," Manual"," 6 Lakh","Honda Amaze S Option i-DT"
"2016","32291 kms "," Petrol "," Manual"," 7 Lakh","Honda City i VTEC V"
"2009","65000 kms "," Petrol "," Manual"," 2.45 Lakh","Honda Civic 1.8 V MT"
"2016","78982 kms "," Petrol "," Automatic"," 8 Lakh","Honda City i VTEC CVT VX"
"2010","76000 kms "," Petrol "," Manual"," 2.60 Lakh","Honda City 1.5 S MT"
"2008","71000 kms "," Petrol "," Automatic"," 1.95 Lakh","Honda Civic 1.8 V AT"
"2009","103913 kms "," Petrol "," Manual"," 2.32 Lakh","Honda City 1.5 S MT"
"2019","21000 kms "," Petrol "," Manual"," 7.34 Lakh","Honda Amaze VX i-VTEC"
"2020","35000 kms "," Petrol "," Manual"," 7.99 Lakh","Honda City i-VTEC VX"
"2019","35000 kms "," Petrol "," Manual"," 7.99 Lakh","Honda City i-VTEC VX"
"2014","135538 kms "," Diesel "," Manual"," 3.50 Lakh","Honda City i DTEC V"
"2014","116734 kms "," Diesel "," Manual"," 5.50 Lakh","Honda Mobilio S i-DTEC"
"2019","22000 kms "," Petrol "," Manual"," 6 Lakh","Honda Amaze S i-VTEC"
"2019","22000 kms "," Petrol "," Manual"," 9.65 Lakh","Honda City V MT"
"2009","73193 kms "," Petrol "," Manual"," 1.96 Lakh","Honda City 1.5 S MT"
"2017","43741 kms "," Diesel "," Manual"," 6.50 Lakh","Honda WR-V i-DTEC VX"
"2017","172246 kms "," Diesel "," Manual"," 6.31 Lakh","Honda BR-V i-DTEC S MT"
"2015","56597 kms "," Diesel "," Manual"," 5.15 Lakh","Honda City i DTEC V"
"2015","94972 kms "," Petrol "," Manual"," 6.60 Lakh","Honda City i VTEC VX Opti"
"2016","92448 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Jazz 1.2 V i VTEC"
"2011","70000 kms "," Petrol "," Automatic"," 3.75 Lakh","Honda City 1.5 V AT"
"2011","81846 kms "," Petrol "," Manual"," 3.86 Lakh","Honda City S"
"2018","56400 kms "," Petrol "," Manual"," 6.99 Lakh","Honda Amaze VX i-VTEC"
"2008","123000 kms "," Petrol "," Manual"," 1.65 Lakh","Honda City GXi"
"2012","81572 kms "," Petrol "," Manual"," 3 Lakh","Honda City S"
"2013","114565 kms "," Diesel "," Manual"," 2.12 Lakh","Honda Amaze S i-Dtech"
"2017","59835 kms "," Diesel "," Manual"," 4.70 Lakh","Honda WR-V i-DTEC S"
"2015","71773 kms "," Diesel "," Manual"," 4.30 Lakh","Honda City i DTEC VX"
"2009","107124 kms "," Petrol "," Automatic"," 1.75 Lakh","Honda City 1.5 V AT"
"2005","59124 kms "," Petrol "," Manual"," 1.51 Lakh","Honda City 1.5 GXI"
"2004","101752 kms "," Petrol "," Automatic"," 3.17 Lakh","Honda CR-V 2.4 4WD AT"
"2013","75245 kms "," Petrol "," Manual"," 2.25 Lakh","Honda Brio VX"
"2008","125051 kms "," Petrol "," Manual"," 1.20 Lakh","Honda City GXi"
"2014","97285 kms "," Diesel "," Manual"," 3.94 Lakh","Honda City i DTEC V"
"2019","21744 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Amaze S Petrol BSIV"
"2019","50175 kms "," Diesel "," Automatic"," 26.50 Lakh","Honda CR-V Diesel 2WD"
"2018","22000 kms "," Petrol "," Automatic"," 7 Lakh","Honda City i-VTEC CVT V"
"2014","56000 kms "," Petrol "," Manual"," 5.45 Lakh","Honda City i VTEC SV"
"2015","64000 kms "," Diesel "," Manual"," 5.49 Lakh","Honda City i DTEC VX"
"2019","10745 kms "," Petrol "," Automatic"," 17.54 Lakh","Honda Civic VX"
"2017","30000 kms "," Petrol "," Automatic"," 8.90 Lakh","Honda City i VTEC CVT VX"
"2019","22000 kms "," Petrol "," Manual"," 7.90 Lakh","Honda WR-V Edge Edition i"
"2022","5045 kms "," Petrol "," Manual"," 14.50 Lakh","Honda City ZX MT"
"2022","5100 kms "," Petrol "," Automatic"," 15.90 Lakh","Honda City i-VTEC CVT ZX"
"2016","35620 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City i VTEC VX"
"2022","3800 kms "," Petrol "," Automatic"," 15.90 Lakh","Honda City i-VTEC CVT ZX"
"2018","24530 kms "," Petrol "," Manual"," 7.60 Lakh","Honda Jazz 1.2 V i VTEC"
"2021","4001 kms "," Petrol "," Automatic"," 9.50 Lakh","Honda Amaze VX CVT Petrol"
"2019","30935 kms "," Petrol "," Manual"," 7.40 Lakh","Honda Jazz 1.2 V i VTEC"
"2015","35200 kms "," Petrol "," Automatic"," 6.25 Lakh","Honda Jazz V CVT"
"2021","39011 kms "," Petrol "," Automatic"," 13.45 Lakh","Honda City i-VTEC CVT VX"
"2015","103522 kms "," Petrol "," Automatic"," 5.50 Lakh","Honda City i VTEC CVT VX"
"2015","28451 kms "," Diesel "," Manual"," 7 Lakh","Honda City i DTEC VX"
"2010","191931 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 S MT"
"2011","119822 kms "," Petrol "," Manual"," 2.37 Lakh","Honda City 1.5 V MT"
"2018","21644 kms "," Petrol "," Automatic"," 6.50 Lakh","Honda Amaze V CVT Petrol "
"2010","59556 kms "," Petrol "," Manual"," 1.95 Lakh","Honda City 1.5 S MT"
"2014","84107 kms "," Diesel "," Manual"," 2.65 Lakh","Honda Amaze E i-Dtech"
"2012","65577 kms "," Petrol "," Manual"," 3.15 Lakh","Honda Jazz X"
"2015","32191 kms "," Petrol "," Manual"," 4.75 Lakh","Honda City i VTEC SV"
"2016","59235 kms "," Diesel "," Manual"," 7.11 Lakh","Honda BR-V i-DTEC S MT"
"2019","22700 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda Amaze V CVT Petrol "
"2015","29000 kms "," Petrol "," Automatic"," 12.95 Lakh","Honda CR-V 2.4L 4WD AT"
"2021","5317 kms "," Petrol "," Manual"," 11.39 Lakh","Honda City V MT"
"2020","60714 kms "," Petrol "," Manual"," 6.90 Lakh","Honda Amaze S Petrol"
"2014","119824 kms "," Diesel "," Manual"," 2.96 Lakh","Honda Amaze S i-Dtech"
"2015","69204 kms "," Petrol "," Manual"," 5.60 Lakh","Honda City i VTEC SV"
"2015","72900 kms "," Diesel "," Manual"," 5.75 Lakh","Honda Jazz 1.5 VX i DTEC"
"2016","55000 kms "," Petrol "," Manual"," 4.25 Lakh","Honda Amaze S Petrol BSIV"
"2013","37000 kms "," Petrol "," Manual"," 2.99 Lakh","Honda Brio VX"
"2021","3735 kms "," Petrol "," Automatic"," 14 Lakh","Honda City ZX CVT"
"2015","50500 kms "," Diesel "," Manual"," 6.49 Lakh","Honda City i DTec V"
"2014","59000 kms "," Petrol "," Automatic"," 10.50 Lakh","Honda CR-V 2.4L 4WD AT"
"2017","25000 kms "," Petrol "," Manual"," 5.98 Lakh","Honda WR-V i-VTEC S"
"2011","67000 kms "," Petrol "," Automatic"," 3.25 Lakh","Honda City 1.5 V AT"
"2015","81000 kms "," Petrol "," Manual"," 3.93 Lakh","Honda Amaze S i-Vtech"
"2017","97526 kms "," Diesel "," Manual"," 6.35 Lakh","Honda WR-V i-DTEC VX"
"2012","65865 kms "," Petrol "," Manual"," 2.39 Lakh","Honda Brio S Option MT"
"2010","89191 kms "," Petrol "," Manual"," 2.61 Lakh","Honda City 1.5 S MT"
"2008","74139 kms "," Petrol "," Automatic"," 3.13 Lakh","Honda CR-V 2.4 AT"
"2021","28183 kms "," Diesel "," Manual"," 8.50 Lakh","Honda Amaze S Diesel"
"2017","28419 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda City i-VTEC CVT ZX"
"2010","67000 kms "," Petrol "," Manual"," 3.90 Lakh","Honda Accord 2.4 MT"
"2017","45556 kms "," Petrol "," Manual"," 5 Lakh","Honda Amaze S i-VTEC"
"2015","74000 kms "," Petrol "," Automatic"," 11.75 Lakh","Honda CR-V 2.4L 4WD AT"
"2013","48000 kms "," Petrol "," Manual"," 2.45 Lakh","Honda Amaze EX i-Vtech"
"2014","59218 kms "," Petrol "," Manual"," 5.50 Lakh","Honda City i VTEC V"
"2014","74000 kms "," Petrol "," Manual"," 3.89 Lakh","Honda Amaze S i-Vtech"
"2019","32000 kms "," Petrol "," Automatic"," 10.25 Lakh","Honda City i-VTEC CVT VX"
"2013","45000 kms "," Petrol "," Manual"," 3.75 Lakh","Honda City S"
"2014","82709 kms "," Diesel "," Manual"," 2.75 Lakh","Honda Amaze S Diesel"
"2017","14073 kms "," Petrol "," Manual"," 6.70 Lakh","Honda Jazz 1.2 V i VTEC"
"2010","120023 kms "," Petrol "," Automatic"," 2.40 Lakh","Honda City 1.5 V AT"
"2017","31238 kms "," Petrol "," Automatic"," 5 Lakh","Honda Jazz 1.2 V AT i VTE"
"2015","65000 kms "," Petrol "," Automatic"," 5.25 Lakh","Honda Jazz V CVT"
"2015","48000 kms "," Petrol "," Automatic"," 7.65 Lakh","Honda City i VTEC CVT VX"
"2022","16000 kms "," Petrol "," Manual"," 14 Lakh","Honda City i-VTEC ZX"
"2017","42000 kms "," Diesel "," Manual"," 7.40 Lakh","Honda BR-V i-DTEC S MT"
"2013","54000 kms "," Diesel "," Manual"," 4.65 Lakh","Honda Amaze S i-Dtech"
"2014","33000 kms "," Petrol "," Automatic"," 5.75 Lakh","Honda City i VTEC CVT SV"
"2020","64092 kms "," Petrol "," Manual"," 10 Lakh","Honda City V MT"
"2015","80000 kms "," Diesel "," Manual"," 4.80 Lakh","Honda Amaze SX i-DTEC"
"2009","127986 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 V MT"
"2015","30041 kms "," Petrol "," Manual"," 4.80 Lakh","Honda Amaze S Petrol"
"2015","51000 kms "," Petrol "," Manual"," 4.56 Lakh","Honda Jazz 1.2 V i VTEC"
"2013","650000 kms "," Petrol "," Manual"," 4.10 Lakh","Honda City V MT"
"2015","94670 kms "," Petrol "," Automatic"," 6 Lakh","Honda City i VTEC CVT VX"
"2016","92000 kms "," Diesel "," Manual"," 6.50 Lakh","Honda Jazz 1.5 S i DTEC"
"2017","15500 kms "," Petrol "," Manual"," 7.50 Lakh","Honda WR-V i-VTEC VX"
"2015","31135 kms "," Petrol "," Manual"," 4.80 Lakh","Honda Amaze S i-Vtech"
"2017","14453 kms "," Petrol "," Automatic"," 6.70 Lakh","Honda Jazz V CVT"
"2013","48219 kms "," Petrol "," Manual"," 2.50 Lakh","Honda Brio S MT"
"2017","34721 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Amaze S i-VTEC"
"2022","5000 kms "," Petrol "," Manual"," 10.80 Lakh","Honda City V MT"
"2019","18000 kms "," Petrol "," Automatic"," 17.25 Lakh","Honda Civic VX BSIV"
"2016","50900 kms "," Petrol "," Manual"," 6.60 Lakh","Honda City i VTEC SV"
"2015","85291 kms "," Petrol "," Manual"," 6 Lakh","Honda City i VTEC V"
"2015","55000 kms "," Petrol "," Manual"," 5.30 Lakh","Honda City V MT"
"2017","72718 kms "," Diesel "," Manual"," 5 Lakh","Honda WR-V i-DTEC VX"
"2017","27000 kms "," Petrol "," Manual"," 5.11 Lakh","Honda Jazz 1.2 V i VTEC"
"2014","204000 kms "," Diesel "," Manual"," 4 Lakh","Honda Amaze S i-Dtech"
"2013","53313 kms "," Petrol "," Manual"," 2.80 Lakh","Honda Brio S MT"
"2009","110000 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 V MT"
"2007","40000 kms "," Petrol "," Manual"," 3.10 Lakh","Honda Civic 1.8 MT Sport"
"2005","111279 kms "," Petrol "," Manual"," 1.73 Lakh","Honda City 1.5 GXI"
"2017","25000 kms "," Petrol "," Manual"," 9.50 Lakh","Honda City i VTEC V"
"2016","46564 kms "," Petrol "," Manual"," 5.50 Lakh","Honda City i VTEC SV"
"2009","92034 kms "," Petrol "," Automatic"," 2 Lakh","Honda Civic 1.8 V AT"
"2013","29126 kms "," Petrol "," Manual"," 4.25 Lakh","Honda City E"
"2014","45882 kms "," Petrol "," Automatic"," 6 Lakh","Honda City i VTEC CVT VX"
"2013","23000 kms "," Petrol "," Automatic"," 4.85 Lakh","Honda City 1.5 S AT"
"2014","70262 kms "," Diesel "," Manual"," 5.50 Lakh","Honda City i DTEC SV"
"2004","109381 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City 1.5 EXI"
"2016","36858 kms "," Petrol "," Automatic"," 6.75 Lakh","Honda Amaze V CVT Petrol "
"2016","32253 kms "," Petrol "," Automatic"," 5.10 Lakh","Honda City i VTEC CVT SV"
"2017","75185 kms "," Petrol "," Manual"," 8 Lakh","Honda City i VTEC SV"
"2016","56471 kms "," Petrol "," Manual"," 6 Lakh","Honda BR-V i-VTEC V MT"
"2013","88000 kms "," Diesel "," Manual"," 2.50 Lakh","Honda Amaze S i-Dtech"
"2016","82000 kms "," Diesel "," Manual"," 7.25 Lakh","Honda City i DTec VX"
"2016","43000 kms "," Petrol "," Automatic"," 7.90 Lakh","Honda City i VTEC CVT VX"
"2012","47000 kms "," Petrol "," Manual"," 2.30 Lakh","Honda Brio S MT"
"2009","85682 kms "," Petrol "," Manual"," 1.95 Lakh","Honda City 1.5 E MT"
"2007","45832 kms "," Petrol "," Manual"," 1.50 Lakh","Honda Civic 1.8 V MT"
"2013","70000 kms "," Petrol "," Automatic"," 3.25 Lakh","Honda Brio V AT"
"2018","110000 kms "," Diesel "," Manual"," 5.70 Lakh","Honda Amaze i-DTEC Privil"
"2012","80000 kms "," Petrol "," Manual"," 2 Lakh","Honda Brio V MT"
"2010","50000 kms "," Petrol "," Manual"," 2.75 Lakh","Honda City 1.5 V MT"
"2018","137976 kms "," Diesel "," Manual"," 4.60 Lakh","Honda Amaze S i-DTEC"
"2016","60000 kms "," Petrol "," Manual"," 4.10 Lakh","Honda Amaze S i-Vtech"
"2009","30296 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 S MT"
"2018","50000 kms "," Diesel "," Automatic"," 7.30 Lakh","Honda Amaze S CVT Diesel "
"2009","102816 kms "," Petrol "," Automatic"," 1.80 Lakh","Honda City 1.5 S AT"
"2017","23239 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Amaze S i-VTEC"
"2009","109989 kms "," Petrol "," Manual"," 2.80 Lakh","Honda Civic 1.8 (E) MT"
"2019","53862 kms "," Petrol "," Manual"," 7.40 Lakh","Honda WR-V i-VTEC VX"
"2008","120000 kms "," Petrol "," Manual"," 1.90 Lakh","Honda City GXi"
"2012","49000 kms "," Petrol "," Manual"," 2.49 Lakh","Honda Brio S MT"
"2017","79968 kms "," Diesel "," Manual"," 6 Lakh","Honda Amaze E Option i-DT"
"2015","50000 kms "," Petrol "," Manual"," 6.50 Lakh","Honda City i VTEC SV"
"2019","32699 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda Jazz VX CVT"
"2017","51000 kms "," Petrol "," Automatic"," 8.99 Lakh","Honda City i-VTEC CVT ZX"
"2014","122698 kms "," Petrol "," Manual"," 5.50 Lakh","Honda City i VTEC VX"
"2018","110000 kms "," Diesel "," Manual"," 7.50 Lakh","Honda WR-V i-DTEC VX"
"2022","20000 kms "," Petrol "," Manual"," 7.50 Lakh","Honda Amaze S"
"2017","64000 kms "," Petrol "," Automatic"," 8.50 Lakh","Honda City VX CVT"
"2013","200000 kms "," Diesel "," Manual"," 2.50 Lakh","Honda Amaze S i-Dtech"
"2013","128431 kms "," Petrol "," Manual"," 2.80 Lakh","Honda Brio EX MT"
"2014","44901 kms "," Diesel "," Manual"," 3 Lakh","Honda City i DTEC SV"
"2019","82900 kms "," Petrol "," Automatic"," 12.50 Lakh","Honda City VX CVT"
"2017","60000 kms "," Petrol "," Manual"," 8 Lakh","Honda City V MT"
"2018","51000 kms "," Petrol "," Manual"," 8.25 Lakh","Honda City V MT"
"2021","15000 kms "," Petrol "," Automatic"," 7.51 Lakh","Honda Amaze Exclusive Edi"
"2012","64000 kms "," Petrol "," Manual"," 4.75 Lakh","Honda Jazz X"
"2015","63000 kms "," Petrol "," Automatic"," 12.90 Lakh","Honda CR-V 2.4L 4WD AT"
"2010","92000 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 S MT"
"2016","40000 kms "," Petrol "," Automatic"," 13.25 Lakh","Honda CR-V 2.4L 4WD AT AV"
"2014","146732 kms "," Petrol "," Manual"," 3.70 Lakh","Honda City SV MT"
"2009","72000 kms "," Petrol "," Automatic"," 1.95 Lakh","Honda Civic 1.8 V AT"
"2021","6000 kms "," Petrol "," Manual"," 9.75 Lakh","Honda City SV MT"
"2014","40748 kms "," Petrol "," Manual"," 3.70 Lakh","Honda Amaze S i-Vtech"
"2012","46761 kms "," Petrol "," Manual"," 4.50 Lakh","Honda City E"
"2009","108450 kms "," Petrol "," Manual"," 2 Lakh","Honda City 1.5 S MT"
"2015","12710 kms "," Petrol "," Manual"," 3.40 Lakh","Honda Amaze SX i-VTEC"
"2014","80000 kms "," Petrol "," Manual"," 5.75 Lakh","Honda City i VTEC SV"
"2019","13106 kms "," Petrol "," Manual"," 6 Lakh","Honda Amaze S Petrol BSIV"
"2015","109839 kms "," Diesel "," Manual"," 5.50 Lakh","Honda City i DTEC V"
"2019","80146 kms "," Petrol "," Manual"," 7.32 Lakh","Honda City V MT"
"2005","91687 kms "," Petrol "," Manual"," 1.50 Lakh","Honda City 1.5 GXI"
"2008","68013 kms "," Petrol "," Manual"," 1.35 Lakh","Honda City GXi"
"2017","100385 kms "," Petrol "," Manual"," 6.33 Lakh","Honda City i VTEC V"
"2014","67245 kms "," Diesel "," Manual"," 4 Lakh","Honda City i DTEC SV"
"2010","70590 kms "," Petrol "," Manual"," 3.75 Lakh","Honda City 1.5 S MT"
"2010","94233 kms "," Petrol "," Manual"," 2.20 Lakh","Honda City 1.5 S MT"
"2008","110000 kms "," Petrol "," Manual"," 1.10 Lakh","Honda City GXi"
"2011","103000 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Civic 1.8 V MT"
"2014","75480 kms "," Petrol "," Manual"," 6.50 Lakh","Honda City i VTEC S"
"2010","87000 kms "," Petrol "," Manual"," 3.95 Lakh","Honda City 1.5 V MT"
"2016","50393 kms "," Diesel "," Manual"," 5.50 Lakh","Honda City i DTec SV"
"2012","71320 kms "," Petrol "," Manual"," 2.10 Lakh","Honda Brio S MT"
"2014","66776 kms "," Diesel "," Manual"," 2.30 Lakh","Honda Amaze S i-Dtech"
"2010","76436 kms "," Petrol "," Manual"," 2.10 Lakh","Honda City 1.5 E MT"
"2012","210592 kms "," Petrol "," Manual"," 2.55 Lakh","Honda City S"
"2016","28232 kms "," Petrol "," Manual"," 4 Lakh","Honda Jazz 1.2 SV i VTEC"
"2018","23733 kms "," Petrol "," Automatic"," 9 Lakh","Honda City i-VTEC CVT ZX"
"2019","35000 kms "," Petrol "," Manual"," 7.22 Lakh","Honda Amaze VX Petrol BSI"
"2012","74103 kms "," Petrol "," Manual"," 3.35 Lakh","Honda City S"
"2010","70000 kms "," Petrol "," Manual"," 2 Lakh","Honda City 1.5 E MT"
"2017","110000 kms "," Diesel "," Manual"," 5.50 Lakh","Honda Amaze i-DTEC Privil"
"2016","120000 kms "," Diesel "," Manual"," 4.50 Lakh","Honda BR-V i-DTEC V MT"
"2014","121147 kms "," Diesel "," Manual"," 3 Lakh","Honda City i DTEC VX"
"2019","120000 kms "," Diesel "," Manual"," 6.50 Lakh","Honda WR-V i-DTEC VX"
"2009","76831 kms "," Petrol "," Manual"," 2.22 Lakh","Honda City 1.5 E MT"
"2017","37000 kms "," Petrol "," Automatic"," 6.25 Lakh","Honda Jazz 1.2 V AT i VTE"
"2020","10000 kms "," Petrol "," Manual"," 6.70 Lakh","Honda Amaze S Petrol"
"2016","51179 kms "," Petrol "," Automatic"," 6 Lakh","Honda Amaze S AT i-Vtech"
"2019","29461 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Amaze E Petrol BSIV"
"2014","205546 kms "," Diesel "," Manual"," 2.25 Lakh","Honda Mobilio V i-DTEC"
"2008","223000 kms "," Petrol "," Manual"," 1 Lakh","Honda City GXi"
"2016","151181 kms "," Diesel "," Manual"," 5 Lakh","Honda City i DTec SV"
"2009","93909 kms "," Petrol "," Manual"," 1.15 Lakh","Honda City 1.5 S MT"
"2010","95618 kms "," Petrol "," Manual"," 3.01 Lakh","Honda City 1.5 S MT"
"2015","95338 kms "," Diesel "," Manual"," 2.25 Lakh","Honda Amaze S i-Dtech"
"2008","100000 kms "," Petrol "," Automatic"," 2 Lakh","Honda Civic 1.8 S AT"
"2016","40000 kms "," Petrol "," Manual"," 5.75 Lakh","Honda Amaze VX i-VTEC"
"2010","120000 kms "," Petrol "," Manual"," 5 Lakh","Honda City 1.5 S MT"
"2015","86000 kms "," Petrol "," Manual"," 4.30 Lakh","Honda Amaze S i-Vtech"
"2011","67507 kms "," Petrol "," Manual"," 5.50 Lakh","Honda Accord 2.4 MT"
"2009","90000 kms "," Petrol "," Manual"," 3 Lakh","Honda City 1.5 S MT"
"2021","20900 kms "," Petrol "," Manual"," 8.25 Lakh","Honda Amaze VX Petrol"
"2011","70000 kms "," Petrol "," Manual"," 3.30 Lakh","Honda City 1.5 S MT"
"2014","125690 kms "," Diesel "," Manual"," 2.45 Lakh","Honda Amaze S i-Dtech"
"2017","46729 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City i VTEC V"
"2016","84067 kms "," Petrol "," Manual"," 4.50 Lakh","Honda Jazz 1.2 VX i VTEC"
"2003","149714 kms "," Petrol "," Manual"," 45,000","Honda City 1.5 GXI"
"2017","17687 kms "," Petrol "," Manual"," 9 Lakh","Honda City i VTEC VX"
"2016","129835 kms "," Diesel "," Manual"," 5.20 Lakh","Honda City i DTec V"
"2015","56616 kms "," Petrol "," Manual"," 3.99 Lakh","Honda Amaze S Petrol"
"2021","39000 kms "," Petrol "," Automatic"," 13.45 Lakh","Honda City i-VTEC CVT VX"
"2015","100000 kms "," Diesel "," Manual"," 6.20 Lakh","Honda City i DTEC VX Opti"
"2008","39460 kms "," Petrol "," Manual"," 80,000","Honda Civic 1.8 S MT"
"2007","67811 kms "," Petrol "," Manual"," 2.08 Lakh","Honda Civic 1.8 V MT"
"2015","65041 kms "," Petrol "," Manual"," 4.09 Lakh","Honda Amaze S i-Vtech"
"2015","60130 kms "," Diesel "," Manual"," 4.80 Lakh","Honda Amaze VX i-DTEC"
"2017","38000 kms "," Petrol "," Manual"," 7.25 Lakh","Honda City i VTEC V"
